fulldate,daily_revenue,cumulative_revenue
2017-02-21,1524.13,979334.61
2017-02-22,983.17,980317.78
2017-02-23,57.58,980375.36
2017-02-25,46.72,980422.08
2017-02-27,243.89,980665.97
2017-02-28,147.58,980813.55
2017-03-01,6285.8,987099.35
2017-03-03,7264.42,994363.77
2017-03-04,315.45,994679.22
2017-03-05,162.34,994841.56
2017-03-06,811.3,995652.86
2017-03-07,21.07,995673.93
2017-03-08,2190.81,997864.74
2017-03-09,635.6,998500.34
2017-03-10,7879.73,1006380.07
2017-03-11,896.03,1007276.1
2017-03-12,1694.64,1008970.74
2017-03-13,8866.88,1017837.62
2017-03-14,669.35,1018506.97
2017-03-15,1805.99,1020312.96
2017-03-17,2360.33,1022673.29
2017-03-18,1061.68,1023734.97
2017-03-19,138.68,1023873.65
2017-03-20,928.31,1024801.96
2017-03-21,645.7,1025447.66
2017-03-22,226.47,1025674.13
2017-03-24,745.78,1026419.91
2017-03-25,1346.97,1027766.88
2017-03-26,682.25,1028449.13
2017-03-27,92.7,1028541.83
2017-03-28,125.3,1028667.13
2017-03-29,2659.36,1031326.49
2017-03-30,11.34,1031337.83
2017-03-31,640.76,1031978.59
2017-04-01,2161.47,1034140.06
2017-04-02,1454.9,1035594.96
2017-04-03,441.2,1036036.16
2017-04-04,970.19,1037006.35
2017-04-05,1046.33,1038052.68
2017-04-06,1294.75,1039347.43
2017-04-07,1900.31,1041247.74
2017-04-08,2906.39,1044154.13
2017-04-09,1115.2,1045269.33
2017-04-10,950.59,1046219.92
2017-04-12,1542.52,1047762.44
2017-04-13,6.12,1047768.56
2017-04-14,1466.58,1049235.14
2017-04-15,2201.86,1051437.0
2017-04-16,9335.09,1060772.09
2017-04-17,421.08,1061193.17
2017-04-18,2514.54,1063707.71
2017-04-19,1414.14,1065121.85
2017-04-21,271.62,1065393.47
2017-04-22,1765.47,1067158.94
2017-04-23,720.37,1067879.31
2017-04-24,1607.1,1069486.41
2017-04-25,108.42,1069594.83
2017-04-26,434.65,1070029.48
2017-04-28,486.67,1070516.15
2017-04-30,142.21,1070658.36
2017-05-01,517.86,1071176.22
2017-05-02,767.32,1071943.54
2017-05-03,1099.02,1073042.56
2017-05-05,2701.29,1075743.85
2017-05-06,236.97,1075980.82
2017-05-07,4835.97,1080816.79
2017-05-08,1340.25,1082157.04
2017-05-09,1283.51,1083440.55
2017-05-10,763.02,1084203.57
2017-05-11,5.98,1084209.55
2017-05-12,918.88,1085128.43
2017-05-14,455.92,1085584.35
2017-05-15,648.91,1086233.26
2017-05-16,880.46,1087113.72
2017-05-17,346.93,1087460.65
2017-05-18,122.22,1087582.87
2017-05-19,1582.0,1089164.87
2017-05-20,2471.91,1091636.78
2017-05-21,2718.22,1094355.0
2017-05-22,1799.2,1096154.2
2017-05-23,10560.98,1106715.18
2017-05-24,277.76,1106992.94
2017-05-25,1311.97,1108304.91
2017-05-26,1975.35,1110280.26
2017-05-27,5305.08,1115585.34
2017-05-28,2137.32,1117722.66
2017-05-29,1063.19,1118785.85
2017-05-30,8090.58,1126876.43
2017-05-31,438.86,1127315.29
2017-06-02,157.84,1127473.13
2017-06-04,2316.52,1129789.65
2017-06-05,659.82,1130449.47
2017-06-06,5477.35,1135926.82
2017-06-07,51.56,1135978.38
2017-06-09,1688.47,1137666.85
2017-06-10,1412.4,1139079.25
2017-06-11,1623.4,1140702.65
2017-06-12,2962.55,1143665.2
2017-06-13,430.44,1144095.64
2017-06-14,3457.11,1147552.75
2017-06-15,173.49,1147726.24
2017-06-16,147.28,1147873.52
2017-06-17,3000.93,1150874.45
2017-06-18,541.94,1151416.39
2017-06-19,17.12,1151433.51
2017-06-20,1229.56,1152663.07
2017-06-21,577.11,1153240.18
2017-06-23,2475.09,1155715.27
2017-06-24,5310.95,1161026.22
2017-06-25,893.27,1161919.49
2017-06-26,1919.6,1163839.09
2017-06-27,778.7,1164617.79
2017-06-28,877.16,1165494.95
2017-06-29,191.88,1165686.83
2017-06-30,1352.95,1167039.78
2017-07-01,1724.38,1168764.16
2017-07-02,772.78,1169536.94
2017-07-03,847.7,1170384.64
2017-07-04,1651.31,1172035.95
2017-07-07,3882.23,1175918.18
2017-07-08,2616.52,1178534.7
2017-07-09,573.29,1179107.99
2017-07-10,895.9,1180003.89
2017-07-12,95.76,1180099.65
2017-07-14,2149.95,1182249.6
2017-07-15,380.2,1182629.8
2017-07-16,910.17,1183539.97
2017-07-17,2184.88,1185724.85
2017-07-18,2891.86,1188616.71
2017-07-19,1536.45,1190153.16
2017-07-20,89.95,1190243.11
2017-07-21,991.1,1191234.21
2017-07-22,1368.05,1192602.26
2017-07-23,654.6,1193256.86
2017-07-24,326.96,1193583.82
2017-07-25,4979.32,1198563.14
2017-07-28,2033.37,1200596.51
2017-07-29,819.15,1201415.66
2017-07-30,1770.77,1203186.43
2017-07-31,2174.16,1205360.59
2017-08-01,1124.65,1206485.24
2017-08-02,482.58,1206967.82
2017-08-03,248.82,1207216.64
2017-08-04,497.9,1207714.54
2017-08-05,197.05,1207911.59
2017-08-06,320.39,1208231.98
2017-08-07,179.97,1208411.95
2017-08-08,1115.2,1209527.15
2017-08-09,661.36,1210188.51
2017-08-11,151.82,1210340.33
2017-08-12,3951.95,1214292.28
2017-08-13,731.52,1215023.8
2017-08-14,923.69,1215947.49
2017-08-15,1680.27,1217627.76
2017-08-16,204.54,1217832.3
2017-08-17,15.71,1217848.01
2017-08-18,496.11,1218344.12
2017-08-19,448.79,1218792.91
2017-08-20,14.78,1218807.69
2017-08-21,4225.12,1223032.81
2017-08-22,405.35,1223438.16
2017-08-23,4187.35,1227625.51
2017-08-26,4874.3,1232499.81
2017-08-27,767.92,1233267.73
2017-08-28,322.02,1233589.75
2017-08-29,632.19,1234221.94
2017-08-30,1656.86,1235878.8
2017-08-31,23.97,1235902.77
2017-09-01,5766.16,1241668.93
2017-09-02,6792.21,1248461.14
2017-09-03,2365.59,1250826.73
2017-09-04,1707.81,1252534.54
2017-09-05,5226.36,1257760.9
2017-09-06,1313.52,1259074.42
2017-09-08,4493.99,1263568.41
2017-09-09,84.99,1263653.4
2017-09-10,2094.32,1265747.72
2017-09-11,6402.03,1272149.75
2017-09-12,2043.79,1274193.54
2017-09-13,2374.73,1276568.27
2017-09-14,1137.34,1277705.61
2017-09-15,2101.18,1279806.79
2017-09-16,425.89,1280232.68
2017-09-17,2043.12,1282275.8
2017-09-18,4751.08,1287026.88
2017-09-19,3839.31,1290866.19
2017-09-20,1232.0,1292098.19
2017-09-22,418.07,1292516.26
2017-09-23,1322.14,1293838.4
2017-09-24,2286.05,1296124.45
2017-09-25,2384.02,1298508.47
2017-09-26,2698.18,1301206.65
2017-09-27,1992.98,1303199.63
2017-09-28,99.14,1303298.77
2017-09-29,1271.56,1304570.33
2017-09-30,525.88,1305096.21
2017-10-01,781.42,1305877.63
2017-10-02,18452.97,1324330.6
2017-10-03,1680.7,1326011.3
2017-10-04,5912.78,1331924.08
2017-10-06,830.4,1332754.48
2017-10-07,973.71,1333728.19
2017-10-08,561.53,1334289.72
2017-10-09,546.93,1334836.65
2017-10-10,252.36,1335089.01
2017-10-11,33.06,1335122.07
2017-10-13,1650.63,1336772.7
2017-10-14,3335.88,1340108.58
2017-10-15,1620.15,1341728.73
2017-10-16,142.18,1341870.91
2017-10-17,2953.35,1344824.26
2017-10-18,307.92,1345132.18
2017-10-20,946.19,1346078.37
2017-10-21,7877.28,1353955.65
2017-10-22,188.28,1354143.93
2017-10-23,467.43,1354611.36
2017-10-24,1365.5,1355976.86
2017-10-25,783.96,1356760.82
2017-10-27,978.79,1357739.61
2017-10-28,2899.04,1360638.65
2017-10-29,131.15,1360769.8
2017-10-30,159.0,1360928.8
2017-10-31,3750.5,1364679.3
2017-11-01,453.37,1365132.67
2017-11-03,3802.8,1368935.47
2017-11-04,3888.82,1372824.29
2017-11-05,4266.9,1377091.19
2017-11-06,773.25,1377864.44
2017-11-07,3810.47,1381674.91
2017-11-08,993.9,1382668.81
2017-11-09,479.97,1383148.78
2017-11-10,4723.49,1387872.27
2017-11-11,4944.29,1392816.56
2017-11-12,4914.93,1397731.49
2017-11-13,2945.15,1400676.64
2017-11-14,2774.08,1403450.72
2017-11-15,2145.72,1405596.44
2017-11-16,36.72,1405633.16
2017-11-17,142.69,1405775.85
2017-11-18,3958.94,1409734.79
2017-11-19,638.46,1410373.25
2017-11-20,3070.35,1413443.6
2017-11-21,1176.9,1414620.5
2017-11-22,317.05,1414937.55
2017-11-23,100.62,1415038.17
2017-11-24,6394.53,1421432.7
2017-11-25,7978.56,1429411.26
2017-11-26,8329.74,1437741.0
2017-11-27,1305.76,1439046.76
2017-11-28,3428.36,1442475.12
2017-11-29,300.6,1442775.72
2017-11-30,970.14,1443745.86
2017-12-01,7365.46,1451111.32
2017-12-02,4684.61,1455795.93
2017-12-03,5269.82,1461065.75
2017-12-04,944.29,1462010.04
2017-12-05,5138.94,1467148.98
2017-12-06,2859.97,1470008.95
2017-12-08,4709.08,1474718.03
2017-12-09,1855.49,1476573.52
2017-12-10,3453.23,1480026.75
2017-12-11,6102.26,1486129.01
2017-12-12,1874.04,1488003.05
2017-12-13,1194.09,1489197.14
2017-12-14,828.65,1490025.79
2017-12-15,2637.09,1492662.88
2017-12-16,628.54,1493291.42
2017-12-17,12185.14,1505476.56
2017-12-18,7051.37,1512527.93
2017-12-19,815.11,1513343.04
2017-12-20,134.54,1513477.58
2017-12-22,1043.12,1514520.7
2017-12-23,6965.86,1521486.56
2017-12-24,1938.26,1523424.82
2017-12-25,10488.07,1533912.89
2017-12-26,1829.41,1535742.3
2017-12-27,959.49,1536701.79
2017-12-29,1277.68,1537979.47
2017-12-30,773.76,1538753.23
2017-12-31,731.78,1539485.01
2018-01-01,1481.83,1540966.84
2018-01-02,2079.54,1543046.38
2018-01-03,2070.27,1545116.65
2018-01-06,33.74,1545150.39
2018-01-07,3395.59,1548545.98
2018-01-08,892.98,1549438.96
2018-01-09,274.49,1549713.45
2018-01-12,848.52,1550561.97
2018-01-13,4619.33,1555181.3
2018-01-14,697.33,1555878.63
2018-01-15,2140.27,1558018.9
2018-01-16,6230.29,1564249.19
2018-01-19,2013.72,1566262.91
2018-01-20,767.85,1567030.76
2018-01-21,2546.65,1569577.41
2018-01-22,4212.37,1573789.78
2018-01-23,450.33,1574240.11
2018-01-24,418.66,1574658.77
2018-01-26,3055.28,1577714.05
2018-01-27,331.92,1578045.97
2018-01-28,1007.52,1579053.49
2018-01-29,158.65,1579212.14
2018-01-30,3749.34,1582961.48
2018-02-02,913.35,1583874.83
2018-02-03,922.32,1584797.15
2018-02-04,32.67,1584829.82
2018-02-05,2263.01,1587092.83
2018-02-06,904.35,1587997.18
2018-02-09,773.75,1588770.93
2018-02-10,227.1,1588998.03
2018-02-11,1241.53,1590239.56
2018-02-13,1058.43,1591297.99
2018-02-16,1337.44,1592635.43
2018-02-17,2964.82,1595600.25
2018-02-18,287.33,1595887.58
2018-02-19,1314.59,1597202.17
2018-02-20,1150.29,1598352.46
2018-02-21,47.9,1598400.36
2018-02-23,117.8,1598518.16
2018-02-24,1448.68,1599966.84
2018-02-25,430.49,1600397.33
2018-02-26,2467.51,1602864.84
2018-02-28,17.62,1602882.46
2018-03-02,1450.14,1604332.6
2018-03-03,2000.1,1606332.7
2018-03-04,228.82,1606561.52
2018-03-05,1240.02,1607801.54
2018-03-06,778.24,1608579.78
2018-03-07,166.59,1608746.37
2018-03-08,843.1,1609589.47
2018-03-09,710.8,1610300.27
2018-03-10,1252.95,1611553.22
2018-03-11,1973.7,1613526.92
2018-03-12,353.28,1613880.2
2018-03-13,4791.36,1618671.56
2018-03-14,49.62,1618721.18
2018-03-16,2014.37,1620735.55
2018-03-17,542.75,1621278.3
2018-03-18,1027.75,1622306.05
2018-03-19,2157.3,1624463.35
2018-03-20,899.56,1625362.91
2018-03-21,3332.64,1628695.55
2018-03-23,14816.07,1643511.62
2018-03-24,1257.3,1644768.92
2018-03-25,3567.03,1648335.95
2018-03-26,3252.88,1651588.83
2018-03-27,2933.52,1654522.35
2018-03-28,1504.7,1656027.05
2018-03-29,81.4,1656108.45
2018-03-30,656.41,1656764.86
2018-03-31,4981.01,1661745.87
2018-04-01,5972.98,1667718.85
2018-04-02,822.97,1668541.82
2018-04-03,32.53,1668574.35
2018-04-04,808.47,1669382.82
2018-04-06,114.42,1669497.24
2018-04-07,1971.29,1671468.53
2018-04-08,6401.93,1677870.46
2018-04-09,1626.71,1679497.17
2018-04-10,755.53,1680252.7
2018-04-11,319.8,1680572.5
2018-04-12,69.66,1680642.16
2018-04-13,1345.82,1681987.98
2018-04-14,652.93,1682640.91
2018-04-15,332.34,1682973.25
2018-04-16,944.43,1683917.68
2018-04-17,3431.46,1687349.14
2018-04-20,1053.62,1688402.76
2018-04-21,1254.56,1689657.32
2018-04-22,947.69,1690605.01
2018-04-23,1199.22,1691804.23
2018-04-24,928.56,1692732.79
2018-04-25,678.11,1693410.9
2018-04-26,61.61,1693472.51
2018-04-27,576.58,1694049.09
2018-04-28,795.29,1694844.38
2018-04-29,1053.26,1695897.64
2018-04-30,1390.13,1697287.77
2018-05-01,4108.37,1701396.14
2018-05-02,399.11,1701795.25
2018-05-03,1386.35,1703181.6
2018-05-04,1146.24,1704327.84
2018-05-05,185.12,1704512.96
2018-05-06,2991.4,1707504.36
2018-05-07,2549.46,1710053.82
2018-05-08,3658.55,1713712.37
2018-05-09,1078.22,1714790.59
2018-05-11,449.48,1715240.07
2018-05-12,970.38,1716210.45
2018-05-13,3066.38,1719276.83
2018-05-14,4182.05,1723458.88
2018-05-15,421.25,1723880.13
2018-05-16,221.02,1724101.15
2018-05-18,1830.51,1725931.66
2018-05-19,4919.19,1730850.85
2018-05-20,2997.58,1733848.43
2018-05-21,538.02,1734386.45
2018-05-22,336.56,1734723.01
2018-05-23,241.44,1734964.45
2018-05-25,886.03,1735850.48
2018-05-26,270.24,1736120.72
2018-05-27,2084.91,1738205.63
2018-05-28,1480.1,1739685.73
2018-05-29,691.1,1740376.83
2018-05-30,736.89,1741113.72
2018-06-01,586.04,1741699.76
2018-06-02,135.7,1741835.46
2018-06-03,2952.03,1744787.49
2018-06-04,279.41,1745066.9
2018-06-05,491.12,1745558.02
2018-06-06,31.35,1745589.37
2018-06-08,2227.05,1747816.42
2018-06-09,939.14,1748755.56
2018-06-10,2513.35,1751268.91
2018-06-11,1580.89,1752849.8
2018-06-12,1679.98,1754529.78
2018-06-13,1156.02,1755685.8
2018-06-15,4057.53,1759743.33
2018-06-16,2724.2,1762467.53
2018-06-17,3896.66,1766364.19
2018-06-18,1031.15,1767395.34
2018-06-19,1900.19,1769295.53
2018-06-20,1028.22,1770323.75
2018-06-21,595.66,1770919.41
2018-06-22,579.03,1771498.44
2018-06-24,1184.67,1772683.11
2018-06-25,1508.34,1774191.45
2018-06-26,4224.14,1778415.59
2018-06-27,1644.91,1780060.5
2018-06-29,4521.98,1784582.48
2018-06-30,4721.97,1789304.45
2018-07-01,639.83,1789944.28
2018-07-02,169.19,1790113.47
2018-07-03,6963.41,1797076.88
2018-07-05,476.35,1797553.23
2018-07-06,380.39,1797933.62
2018-07-07,1620.25,1799553.87
2018-07-08,1980.27,1801534.14
2018-07-09,1671.21,1803205.35
2018-07-10,359.21,1803564.56
2018-07-11,1728.89,1805293.45
2018-07-12,3.82,1805297.27
2018-07-13,504.54,1805801.81
2018-07-14,3598.95,1809400.76
2018-07-15,2132.23,1811532.99
2018-07-16,74.28,1811607.27
2018-07-17,2191.87,1813799.14
2018-07-18,2106.8,1815905.94
2018-07-20,2283.2,1818189.14
2018-07-21,3683.82,1821872.96
2018-07-22,556.31,1822429.27
2018-07-23,898.19,1823327.46
2018-07-24,2399.96,1825727.42
2018-07-25,798.75,1826526.17
2018-07-26,2012.3,1828538.47
2018-07-27,947.83,1829486.3
2018-07-28,1170.56,1830656.86
2018-07-29,1391.3,1832048.16
2018-07-30,523.38,1832571.54
2018-07-31,1558.03,1834129.57
2018-08-01,2085.65,1836215.22
2018-08-03,514.83,1836730.05
2018-08-04,20.07,1836750.12
2018-08-05,503.68,1837253.8
2018-08-06,1424.03,1838677.83
2018-08-07,3479.62,1842157.45
2018-08-10,1823.07,1843980.52
2018-08-11,708.71,1844689.23
2018-08-12,3693.08,1848382.31
2018-08-13,2643.15,1851025.46
2018-08-14,440.74,1851466.2
2018-08-15,1949.87,1853416.07
2018-08-16,80.57,1853496.64
2018-08-17,9517.28,1863013.92
2018-08-18,7078.47,1870092.39
2018-08-19,512.45,1870604.84
2018-08-20,692.95,1871297.79
2018-08-21,8284.53,1879582.32
2018-08-22,524.54,1880106.86
2018-08-23,4590.35,1884697.21
2018-08-24,685.05,1885382.26
2018-08-25,361.99,1885744.25
2018-08-26,190.66,1885934.91
2018-08-27,6190.54,1892125.45
2018-08-28,1443.63,1893569.08
2018-08-29,235.47,1893804.55
2018-08-31,3162.83,1896967.38
2018-09-01,1261.81,1898229.19
2018-09-02,8652.34,1906881.53
2018-09-03,1595.85,1908477.38
2018-09-04,5360.18,1913837.56
2018-09-05,327.04,1914164.6
2018-09-07,3848.57,1918013.17
2018-09-08,2184.34,1920197.51
2018-09-09,4356.07,1924553.58
2018-09-10,2506.65,1927060.23
2018-09-11,5564.0,1932624.23
2018-09-12,491.55,1933115.78
2018-09-13,15.92,1933131.7
2018-09-14,3471.4,1936603.1
2018-09-15,7285.02,1943888.12
2018-09-16,831.64,1944719.76
2018-09-17,4979.22,1949698.98
2018-09-18,1511.93,1951210.91
2018-09-19,1648.19,1952859.1
2018-09-20,7359.92,1960219.02
2018-09-21,338.17,1960557.19
2018-09-22,7871.22,1968428.41
2018-09-23,2395.79,1970824.2
2018-09-24,6450.45,1977274.65
2018-09-25,1412.23,1978686.88
2018-09-26,1486.58,1980173.46
2018-09-28,559.27,1980732.73
2018-09-29,1846.79,1982579.52
2018-09-30,540.76,1983120.28
2018-10-01,2978.47,1986098.75
2018-10-02,5418.02,1991516.77
2018-10-03,2504.48,1994021.25
2018-10-04,19.98,1994041.23
2018-10-05,6684.61,2000725.84
2018-10-06,1180.82,2001906.66
2018-10-07,2749.2,2004655.86
2018-10-08,608.35,2005264.21
2018-10-09,1496.6,2006760.81
2018-10-10,239.36,2007000.17
2018-10-12,5625.38,2012625.55
2018-10-13,8405.8,2021031.35
2018-10-14,134.34,2021165.69
2018-10-15,1017.94,2022183.63
2018-10-16,3473.61,2025657.24
2018-10-17,126.35,2025783.59
2018-10-19,2781.88,2028565.47
2018-10-20,1333.86,2029899.33
2018-10-21,4537.21,2034436.54
2018-10-22,15158.89,2049595.43
2018-10-23,3352.39,2052947.82
2018-10-24,529.09,2053476.91
2018-10-26,999.87,2054476.78
2018-10-27,1086.33,2055563.11
2018-10-28,408.72,2055971.83
2018-10-29,46.96,2056018.79
2018-10-30,4025.73,2060044.52
2018-10-31,523.93,2060568.45
2018-11-01,2921.43,2063489.88
2018-11-02,6294.39,2069784.27
2018-11-03,4536.94,2074321.21
2018-11-04,10668.09,2084989.3
2018-11-05,2355.06,2087344.36
2018-11-06,4288.74,2091633.1
2018-11-07,2413.37,2094046.47
2018-11-08,384.1,2094430.57
2018-11-09,4751.5,2099182.07
2018-11-10,4007.54,2103189.61
2018-11-11,1815.22,2105004.83
2018-11-12,2911.38,2107916.21
2018-11-13,6633.4,2114549.61
2018-11-14,834.66,2115384.27
2018-11-15,559.2,2115943.47
2018-11-16,4755.23,2120698.7
2018-11-17,13408.79,2134107.49
2018-11-18,1469.75,2135577.24
2018-11-19,7397.29,2142974.53
2018-11-20,2988.29,2145962.82
2018-11-21,2236.2,2148199.02
2018-11-22,35.71,2148234.73
2018-11-23,1153.1,2149387.83
2018-11-24,4736.05,2154123.88
2018-11-25,3666.16,2157790.04
2018-11-26,5048.17,2162838.21
2018-11-27,1618.25,2164456.46
2018-11-28,6912.94,2171369.4
2018-11-29,491.89,2171861.29
2018-11-30,6645.3,2178506.59
2018-12-01,5331.18,2183837.77
2018-12-02,9951.19,2193788.96
2018-12-03,1403.84,2195192.8
2018-12-04,2639.64,2197832.44
2018-12-05,1453.15,2199285.59
2018-12-06,10.68,2199296.27
2018-12-07,2916.51,2202212.78
2018-12-08,7643.04,2209855.82
2018-12-09,5470.41,2215326.23
2018-12-10,3873.56,2219199.79
2018-12-11,2025.03,2221224.82
2018-12-13,580.94,2221805.76
2018-12-14,3897.71,2225703.47
2018-12-15,306.89,2226010.36
2018-12-16,858.7,2226869.06
2018-12-17,2027.76,2228896.82
2018-12-18,3645.9,2232542.72
2018-12-19,1895.93,2234438.65
2018-12-20,377.73,2234816.38
2018-12-21,2140.94,2236957.32
2018-12-22,7442.02,2244399.34
2018-12-23,1926.76,2246326.1
2018-12-24,6233.05,2252559.15
2018-12-25,2698.92,2255258.07
2018-12-26,814.59,2256072.66
2018-12-27,177.64,2256250.3
2018-12-28,1657.34,2257907.64
2018-12-29,2915.54,2260823.18
2018-12-30,713.79,2261536.97
